price,area,locality,property_type,bedroom_num,latitude,longitude
0.68,323,Kandivali,Apartment,1,19.19430161,72.8680954
1.55,774,Vikhroli,Apartment,3,19.11235237,72.93083954
1.98,950,Goregaon,Apartment,2,19.16102791,72.84053802
0.42,650,Panvel,Apartment,1,18.94493675,73.13698578
7.13,1400,Mahim,Apartment,3,19.03028679,72.8395462
0.2,425,Taloja,Apartment,1,19.07120705,73.097229
0.92,1200,Ulwe,Apartment,2,18.97817993,73.03097534
0.65,555,Kasaradavali Thane,Apartment,1,19.26475143,72.96831512
5.3,1350,Parel,Apartment,3,18.99879456,72.84338379
0.99,1020,Mira Road,Apartment,2,19.28219795,72.88488007
0.68,850,Mira Road,Apartment,1,19.28219795,72.88488007
0.85,595,Dahisar,Apartment,1,19.26285553,72.86623383
2.94,1252,Dahisar,Apartment,3,19.24886703,72.86382294
1.15,890,Dahisar,Apartment,2,19.25222778,72.86793518
1.35,1850,Kharghar,Apartment,3,19.06980515,73.07961273
2.85,1100,Dahisar,Apartment,3,19.25222778,72.86793518
1.3,850,Dahisar,Apartment,2,19.25833702,72.87429047
1.95,850,Dahisar,Apartment,2,19.25222778,72.86793518
1.4,809,Dahisar,Apartment,2,19.25134277,72.87204742
3.33,1180,Chembur,Apartment,2,19.04581451,72.89766693
3.33,1180,Chembur,Apartment,2,19.04581451,72.89766693
1.18,1800,Kharghar,Apartment,3,19.08200455,73.0825119
1.39,1480,Dombivali,Apartment,1,19.23362923,73.08470154
0.77,880,Dombivali,Apartment,1,19.23362923,73.08470154
0.49,580,Dombivali,Apartment,1,19.18523216,73.09324646
1.4,1415,Kharghar,Apartment,3,19.07340813,73.07310486
1.45,666,Goregaon,Apartment,2,19.16594887,72.84719849
1.6,757,Kurla,Apartment,2,19.07312965,72.88269043
0.38,710,Ulwe,Apartment,1,18.96816063,73.028862
2.1,920,Chembur,Apartment,2,19.07096291,72.89916992
0.72,863,Kalyan,Apartment,2,19.25064278,73.1188736
0.53,646,Kalyan,Apartment,1,19.25064278,73.1188736
1.16,620,Thane,Apartment,2,19.21158218,72.9604187
1.0,620,Thane,Apartment,2,19.21158218,72.9604187
6.0,1860,Andheri,Apartment,3,19.13805008,72.82532501
5.3,1350,Parel,Apartment,3,18.99879456,72.84338379
1.25,1000,Vashi,Apartment,2,19.09006882,73.00334167
0.98,600,Chembur,Apartment,1,19.05251312,72.9052887
1.44,1452,Mira Road,Apartment,3,19.29102135,72.87895203
0.98,1060,Mira Road,Apartment,1,19.29102135,72.87895203
1.66,621,Santacruz,Apartment,2,19.0835762,72.85018921
0.6,675,Mira Road,Apartment,1,19.27721214,72.88743591
0.29,490,Goregaon,Apartment,1,19.15535355,72.88746643
0.76,800,Goregaon,Apartment,2,19.15537071,72.88745117
0.64,675,Mira Road,Apartment,1,19.2723217,72.87452698
